"","user_pk","domain_numeric","calendar_month","ncases_touched","prev_ncases_touched","active_months","months_on_cc"
"4",14,1,2013-10-01,1,2,16,17
"5",14,1,2013-11-01,6,1,16,17
"6",14,1,2013-12-01,2,6,16,17
"7",14,1,2014-01-01,2,2,16,17
"8",14,1,2014-02-01,4,2,16,17
"9",14,1,2014-03-01,2,4,16,17
"10",14,1,2014-04-01,4,2,16,17
"11",14,1,2014-05-01,2,4,16,17
"12",14,1,2014-06-01,2,2,16,17
"13",14,1,2014-07-01,1,2,16,17
"14",14,1,2014-08-01,1,1,16,17
"15",14,1,2014-09-01,1,1,16,17
"20",22,1,2014-08-01,5,3,6,9
"21",22,1,2014-09-01,2,5,6,9
"22",22,1,2014-10-01,3,2,6,9
"23",45,2,2014-05-01,13,3,6,6
"24",58,2,2014-05-01,3,2,6,6
"25",84,2,2014-05-01,15,6,6,6
"27",85,3,2012-09-01,40,16,13,27
"28",85,3,2012-10-01,9,40,13,27
"30",85,3,2013-04-01,1,15,13,27
"32",85,3,2013-07-01,4,5,13,27
"33",85,3,2013-08-01,2,4,13,27
"34",85,3,2013-09-01,3,2,13,27
"40",87,3,2013-07-01,7,4,10,27
"41",87,3,2013-08-01,1,7,10,27
"43",88,3,2012-09-01,6,19,10,26
"44",88,3,2012-10-01,6,6,10,26
"48",88,3,2013-08-01,1,8,10,26
"51",91,3,2013-04-01,3,14,8,13
"53",91,3,2013-07-01,4,5,8,13
"54",91,3,2013-08-01,2,4,8,13
"55",106,3,2012-09-01,87,22,9,26
"56",106,3,2012-10-01,10,87,9,26
"59",106,3,2013-07-01,7,4,9,26
"60",106,3,2013-08-01,2,7,9,26
"63",110,3,2013-07-01,8,4,6,13
"64",110,3,2013-08-01,1,8,6,13
"66",116,3,2012-09-01,9,15,12,28
"67",116,3,2012-10-01,18,9,12,28
"70",116,3,2013-07-01,7,4,12,28
"71",116,3,2013-08-01,2,7,12,28
"73",116,3,2014-06-01,1,12,12,28
"74",125,3,2012-10-01,9,5,10,25
"77",125,3,2013-04-01,4,27,10,25
"79",125,3,2013-07-01,6,5,10,25
"81",138,3,2013-01-01,4,3,11,22
"83",138,3,2013-04-01,10,14,11,22
"85",138,3,2013-07-01,6,4,11,22
"86",138,3,2013-08-01,5,6,11,22
"90",139,3,2013-07-01,7,5,9,13
"91",139,3,2013-08-01,3,7,9,13
"96",140,3,2013-04-01,2,40,13,27
"98",140,3,2013-07-01,7,5,13,27
"99",140,3,2013-08-01,5,7,13,27
"101",144,3,2012-10-01,10,8,10,16
"104",144,3,2013-04-01,8,11,10,16
"106",144,3,2013-07-01,7,5,10,16
"107",144,3,2013-08-01,2,7,10,16
"109",146,3,2013-07-01,5,6,7,13
"110",146,3,2013-08-01,2,5,7,13
"111",150,3,2012-08-01,29,4,8,12
"112",150,3,2012-09-01,2,29,8,12
"115",151,3,2012-09-01,21,21,17,28
"116",151,3,2012-10-01,6,21,17,28
"117",151,3,2012-11-01,8,6,17,28
"118",151,3,2012-12-01,2,8,17,28
"119",151,3,2013-01-01,3,2,17,28
"121",151,3,2013-04-01,2,24,17,28
"122",151,3,2013-05-01,5,2,17,28
"123",151,3,2013-06-01,5,5,17,28
"124",151,3,2013-07-01,6,5,17,28
"125",151,3,2013-08-01,3,6,17,28
"127",151,3,2014-06-01,2,20,17,28
"129",168,3,2013-07-01,4,5,6,13
"130",168,3,2013-08-01,2,4,6,13
