"","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01"
"a.morethantwelve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,4,5,5,6,5,6,5,6,7,7,7,9,12,9,9,13,13,15,16,21,22,21,17,21,24,21,21,26,27,26,41,0,0,0,0,0
"b.tentotwelve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,1,1,3,1,0,1,1,1,1,1,1,1,1,1,2,2,5,3,4,5,4,5,6,7,9,12,32,0,0,0,0,0
"c.seventonine",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,6,2,1,1,1,2,2,5,4,4,5,4,7,5,7,11,11,27,33,44,39,0,0,0,0,0
"d.fourtosix",0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,1,1,1,2,2,4,2,2,5,6,7,7,9,10,10,27,32,44,35,33,23,38,0,0,0,0,0
"e.twothree",0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,6,4,0,1,1,0,2,2,3,3,0,4,5,4,8,9,11,5,28,42,29,26,19,38,38,43,159,0,0,0,0,0
"f.started",1,0,0,0,0,0,0,5,1,1,0,0,5,2,0,0,1,0,5,1,0,0,0,2,3,2,4,0,0,1,0,0,3,0,3,2,3,4,2,3,5,7,8,4,27,26,23,15,21,39,28,36,131,418,0,0,0,0,0
"g.restart",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,2,4,4,0,4,1,1,3,0,2,6,2,3,5,0,4,6,3,4,4,6,5,2,3,8,8,11,14,18,24,20,30,115,0,0,0,29,0
"h.total_gains",1,0,0,0,0,0,0,5,1,1,0,1,5,2,0,2,2,1,5,1,1,2,4,6,3,6,5,1,3,1,2,6,5,3,8,2,7,10,5,7,9,13,13,6,30,34,31,26,35,57,52,56,161,533,0,0,0,29,0
"i.active",1,1,0,0,0,0,0,5,5,6,4,5,8,4,2,4,4,4,8,4,4,3,5,11,8,11,15,13,16,11,12,16,20,20,23,21,23,25,27,30,39,49,56,56,72,100,114,117,130,158,185,196,309,842,0,0,0,29,0
"j.total_drops",0,0,1,0,0,0,0,0,1,0,2,0,2,6,2,0,2,1,1,5,1,3,2,0,6,3,1,3,0,6,1,2,1,3,5,4,5,8,3,4,0,3,6,6,14,6,17,23,22,29,25,45,48,0,842,0,0,0,0
"k.two.d",0,0,0,0,0,0,0,0,1,0,1,0,0,5,2,0,0,1,0,4,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,2,3,0,6,6,3,11,11,5,8,0,418,0,0,0,0
"l.threetosix.d",0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,3,0,4,1,7,12,10,12,6,21,22,0,234,0,0,0,0
"m.seventonine.d",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,2,1,0,3,8,11,0,59,0,0,0,0
"n.tentotwelve.d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,1,0,1,1,2,3,1,0,57,0,0,0,0
"o.morethantwelve.d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,1,1,0,2,1,2,1,3,1,3,3,2,2,3,0,2,1,3,5,5,1,3,7,5,3,8,6,0,74,0,0,0,0
